"The image shows a 3x4 grid of twelve black geometric shapes:

Top-left: Three squares with dots inside, arranged vertically.
Top-second: Two squares with dots inside, one above the other.
Top-third: One square with dots inside at the top and bottom, and one empty square in the middle.
Top-right: Three squares with dots inside, arranged vertically.

Middle-left: Three squares with dots inside, arranged vertically.
Middle-second: Three squares with dots inside, arranged vertically.
Middle-third: Three squares with dots inside, arranged vertically.
Middle-right: Three squares with dots inside, arranged vertically.

Bottom-left: Three squares with dots inside, arranged vertically.
Bottom-second: Three squares with dots inside, arranged vertically.
Bottom-third: Three squares with dots inside, arranged vertically.
Bottom-right: Three squares with dots inside, arranged vertically.

Minimalist black-and-white style."
